epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
58,0.794921629,5.171197727,0.876643639,3.237337619,6.794941425,98.48079085,0.517192623,2.259949595,10.66545948,1.80244429,5.759423971,11.94188595
59,0.805447344,5.112523735,0.907940827,3.243857622,6.788618863,98.58319163,0.560626434,2.257829532,10.66446841,1.804608833,5.768341571,11.93908378
60,0.825023558,5.156193115,0.916795721,3.239575401,6.792552024,98.59988093,0.557821477,2.265933529,10.66087358,1.802316047,5.749643594,11.93334907
61,0.795872416,5.100948326,0.918403119,3.239170834,6.815467775,98.64754677,0.588514237,2.255658433,10.65850854,1.801349781,5.758266151,11.93804517
62,0.789114181,5.088540427,0.875346372,3.271772712,6.797539443,97.71028161,0.534230843,2.250994928,10.64651772,1.801111903,5.778409168,11.9313173
63,0.802135654,5.08964885,0.881302133,3.235599771,6.785945594,98.38319421,0.471848482,2.250448056,10.64018033,1.792980786,5.746044219,11.9298175
64,0.792157836,5.092732385,1.132870791,3.247389197,6.767161191,98.63674045,0.569358468,2.248334512,10.62784418,1.803744659,5.736711621,11.91968024
65,0.789463706,5.056795478,0.913079018,3.234841302,6.763985753,98.51344228,0.512637757,2.244599164,10.61422125,1.787683759,5.73498942,11.91485152
66,0.803181436,5.053775311,0.885746051,3.231107816,6.762266904,98.61692786,0.558368536,2.243521996,10.61691552,1.785360966,5.730235577,11.91571876
67,0.780664757,5.052844584,0.86768724,3.223909065,6.760337204,98.59488606,0.554905413,2.240207605,10.61180256,1.78276509,5.726199597,11.91496924
68,0.781162689,5.042583793,0.861879587,3.219333664,6.753718108,98.71398807,0.606463943,2.237827331,10.60688071,1.783890948,5.722644925,11.91263571
69,0.779101951,5.032253601,0.88233755,3.244796023,6.769756228,98.47903252,0.492566219,2.236576937,10.58953151,1.792844664,5.728457496,11.90041974
70,0.773953367,5.044105612,0.872957781,3.20391953,6.74995929,98.70268106,0.597280962,2.234433964,10.59205212,1.777735278,5.719464645,11.90369055
